11687,34,Numerical Methods,4,10:00 AM–11:50 AM   TuTh,8 348,2017-01-03 to 2017-03-10,Regular Academic Session,Raheja, Amar,Lecture, Face-to-Face,
20687,34,Numerical Methods,4,10:00 AM–11:50 AM   TuTh,,2017-01-03 to 2017-03-10,Open University Session,Raheja, Amar,Lecture, Face-to-Face,
11689,35,Formal Language and Automata,4,9:15 AM–10:20 AM   MWF,8 302,2017-01-03 to 2017-03-10,Regular Academic Session,Chen, Tingting,Lecture, Face-to-Face,
11690,35,Formal Language and Automata,4,1:00 PM–2:50 PM   TuTh,8 345,2017-01-03 to 2017-03-10,Regular Academic Session,Sang, Fuh,Lecture, Face-to-Face,
20689,35,Formal Language and Automata,4,9:15 AM–10:20 AM   MWF,,2017-01-03 to 2017-03-10,Open University Session,Chen, Tingting,Lecture, Face-to-Face,
20690,35,Formal Language and Automata,4,1:00 PM–2:50 PM   TuTh,,2017-01-03 to 2017-03-10,Open University Session,Sang, Fuh,Lecture, Face-to-Face,
11691,35,Design and Analysis of Algorithms,4,2:00 PM–3:50 PM   MW,8 302,2017-01-03 to 2017-03-10,Regular Academic Session,Salloum, Salam,Lecture, Face-to-Face,
11692,35,Design and Analysis of Algorithms,4,5:00 PM–6:50 PM   TuTh,8 302,2017-01-03 to 2017-03-10,Regular Academic Session,Perez, Gilberto,Lecture, Face-to-Face,
20691,35,Design and Analysis of Algorithms,4,2:00 PM–3:50 PM   MW,,2017-01-03 to 2017-03-10,Open University Session,Salloum, Salam,Lecture, Face-to-Face,
20692,35,Design and Analysis of Algorithms,4,5:00 PM–6:50 PM   TuTh,,2017-01-03 to 2017-03-10,Open University Session,Perez, Gilberto,Lecture, Face-to-Face,
11694,35,Computer Architecture,4,10:30 AM–11:35 AM   MWF,8 345,2017-01-03 to 2017-03-10,Regular Academic Session,Yang, Lan,Lecture, Face-to-Face,
11695,35,Computer Architecture,4,5:00 PM–6:50 PM   TuTh,3 2636,2017-01-03 to 2017-03-10,Regular Academic Session,Davarpanah, Nima,Lecture, Face-to-Face,
20694,35,Computer Architecture,4,10:30 AM–11:35 AM   MWF,,2017-01-03 to 2017-03-10,Open University Session,Yang, Lan,Lecture, Face-to-Face,
20695,35,Computer Architecture,4,5:00 PM–6:50 PM   TuTh,,2017-01-03 to 2017-03-10,Open University Session,Davarpanah, Nima,Lecture, Face-to-Face,
11697,60,Computers and Society,4,8:00 AM–9:50 AM   TuTh,015 1823,2017-01-03 to 2017-03-10,Regular Academic Session,Eller, Sander,Lecture, Face-to-Face,
11698,60,Computers and Society,4,10:00 AM–11:50 AM   TuTh,015 1823,2017-01-03 to 2017-03-10,Regular Academic Session,Eller, Sander,Lecture, Face-to-Face,
20697,60,Computers and Society,4,8:00 AM–9:50 AM   TuTh,,2017-01-03 to 2017-03-10,Open University Session,Eller, Sander,Lecture, Face-to-Face,
20698,60,Computers and Society,4,10:00 AM–11:50 AM   TuTh,,2017-01-03 to 2017-03-10,Open University Session,Eller, Sander,Lecture, Face-to-Face,
11699,48,Computer Networks,4,6:00 PM–7:50 PM   MW,8 345,2017-01-03 to 2017-03-10,Regular Academic Session,Pantic, Nicholas,Lecture, Face-to-Face,
20699,35,Computer Networks,4,6:00 PM–7:50 PM   MW,,2017-01-03 to 2017-03-10,Open University Session,Pantic, Nicholas,Lecture, Face-to-Face,
13952,1,Special Study for Upper Division Students,2,No time set.   TBA,,2017-01-03 to 2017-03-10,Regular Academic Session,Raheja, Amar,Independent Study, Face-to-Face,
23743,30,Special Study for Upper Division Students,2,No time set.   TBA,,2017-01-03 to 2017-03-10,Regular Academic Session,Sun, Yu,Independent Study, Face-to-Face,
23776,2,Special Study for Upper Division Students,4,No time set.   TBA,,2017-01-03 to 2017-03-10,Regular Academic Session,Sun, Yu,Independent Study, Face-to-Face,
22952,1,Special Study for Upper Division Students,2,No time set.   TBA,,2017-01-03 to 2017-03-10,Open University Session,Raheja, Amar,Independent Study, Face-to-Face,
13841,1,Special Study for Upper Division Students Honors,2,No time set.   TBA,,2017-01-03 to 2017-03-10,Regular Academic Session,Tang, Fang,Independent Study, Face-to-Face,
22841,1,Special Study for Upper Division Students Honors,2,No time set.   TBA,,2017-01-03 to 2017-03-10,Open University Session,Tang, Fang,Independent Study, Face-to-Face,
11700,35,Programming Languages,4,1:00 PM–2:50 PM   TuTh,8 302,2017-01-03 to 2017-03-10,Regular Academic Session,Raheja, Amar,Lecture, Face-to-Face,
